transaction_id,amount_at_risk,failure_reason,recommended_action,priority,recovery_status,recovered_amount
TXN10052,46764.63,AUTHENTICATION_FAILURE,CUSTOMER_PROMPT,MEDIUM,FAILED,0.0
TXN10053,1328.6,UNKNOWN,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10054,3357.27,UNKNOWN,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10055,702.57,CARD_EXPIRED,CUSTOMER_PROMPT,MEDIUM,RECOVERED,702.57
TXN10056,11808.75,CARD_EXPIRED,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10057,884.6,INSUFFICIENT_FUNDS,PAYMENT_LINK,MEDIUM,RECOVERED,884.6
TXN10058,39996.43,NETWORK_ERROR,RETRY,HIGH,RECOVERED,39996.43
TXN10059,1009.98,NETWORK_ERROR,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10060,29048.43,CARD_EXPIRED,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10061,11151.31,NETWORK_ERROR,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10062,35465.77,NETWORK_ERROR,RETRY,HIGH,FAILED,0.0
TXN10063,8898.05,NETWORK_ERROR,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10064,35336.03,INSUFFICIENT_FUNDS,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10065,26466.45,TEMPORARY_BANK_ERROR,RETRY,HIGH,FAILED,0.0
TXN10066,4780.61,INSUFFICIENT_FUNDS,PAYMENT_LINK,MEDIUM,FAILED,0.0
TXN10067,1441.71,CARD_EXPIRED,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10068,17380.84,AUTHENTICATION_FAILURE,CUSTOMER_PROMPT,MEDIUM,FAILED,0.0
TXN10069,15909.56,CARD_EXPIRED,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10070,1004.34,TEMPORARY_BANK_ERROR,RETRY,MEDIUM,RECOVERED,1004.34
TXN10071,9123.33,AUTHENTICATION_FAILURE,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10072,1540.79,NETWORK_ERROR,RETRY,MEDIUM,FAILED,0.0
TXN10073,2060.27,TEMPORARY_BANK_ERROR,RETRY,MEDIUM,RECOVERED,2060.27
TXN10074,26415.87,UNKNOWN,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10075,47175.04,INSUFFICIENT_FUNDS,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10076,39449.89,INSUFFICIENT_FUNDS,PAYMENT_LINK,MEDIUM,FAILED,0.0
TXN10077,15376.59,INSUFFICIENT_FUNDS,PAYMENT_LINK,MEDIUM,FAILED,0.0
TXN10078,2933.45,TEMPORARY_BANK_ERROR,RETRY,MEDIUM,FAILED,0.0
TXN10079,5033.45,TEMPORARY_BANK_ERROR,RETRY,HIGH,FAILED,0.0
TXN10080,3491.05,INSUFFICIENT_FUNDS,PAYMENT_LINK,MEDIUM,FAILED,0.0
TXN10081,1483.81,AUTHENTICATION_FAILURE,CUSTOMER_PROMPT,MEDIUM,FAILED,0.0
TXN10082,27261.13,NETWORK_ERROR,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10083,9150.25,TEMPORARY_BANK_ERROR,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10084,5951.36,CARD_EXPIRED,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10085,1170.75,AUTHENTICATION_FAILURE,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10086,3452.6,INSUFFICIENT_FUNDS,PAYMENT_LINK,MEDIUM,RECOVERED,3452.6
TXN10087,20240.62,UNKNOWN,REMINDER,LOW,RECOVERED,20240.62
TXN10088,6609.73,UNKNOWN,REMINDER,LOW,RECOVERED,6609.73
TXN10089,1971.71,AUTHENTICATION_FAILURE,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10090,34148.86,CARD_EXPIRED,CUSTOMER_PROMPT,MEDIUM,RECOVERED,34148.86
TXN10091,2262.74,TEMPORARY_BANK_ERROR,RETRY,MEDIUM,RECOVERED,2262.74
TXN10092,1244.06,UNKNOWN,REMINDER,LOW,RECOVERED,1244.06
TXN10093,1993.37,TEMPORARY_BANK_ERROR,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10094,43462.59,NETWORK_ERROR,RETRY,HIGH,RECOVERED,43462.59
TXN10095,920.37,UNKNOWN,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10096,2203.07,TEMPORARY_BANK_ERROR,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10097,41996.64,NETWORK_ERROR,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10098,9700.23,INSUFFICIENT_FUNDS,PAYMENT_LINK,MEDIUM,FAILED,0.0
TXN10099,573.2,UNKNOWN,REMINDER,LOW,FAILED,0.0
TXN10100,4144.24,INSUFFICIENT_FUNDS,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10101,49414.69,AUTHENTICATION_FAILURE,CUSTOMER_PROMPT,MEDIUM,RECOVERED,49414.69
TXN10102,3743.97,NETWORK_ERROR,RETRY,MEDIUM,RECOVERED,3743.97
TXN10103,410.95,CARD_EXPIRED,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10104,1819.03,AUTHENTICATION_FAILURE,CUSTOMER_PROMPT,MEDIUM,RECOVERED,1819.03
TXN10105,16651.33,AUTHENTICATION_FAILURE,CUSTOMER_PROMPT,MEDIUM,FAILED,0.0
TXN10106,38861.31,UNKNOWN,REMINDER,LOW,FAILED,0.0
TXN10107,33803.12,TEMPORARY_BANK_ERROR,RETRY,HIGH,FAILED,0.0
TXN10108,29819.65,TEMPORARY_BANK_ERROR,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10109,1940.86,UNKNOWN,REMINDER,LOW,RECOVERED,1940.86
TXN10110,1174.42,NETWORK_ERROR,RETRY,MEDIUM,FAILED,0.0
TXN10111,7544.71,AUTHENTICATION_FAILURE,CUSTOMER_PROMPT,MEDIUM,RECOVERED,7544.71
TXN10112,1846.88,INSUFFICIENT_FUNDS,PAYMENT_LINK,MEDIUM,RECOVERED,1846.88
TXN10113,265.61,AUTHENTICATION_FAILURE,CUSTOMER_PROMPT,MEDIUM,FAILED,0.0
TXN10114,766.52,CARD_EXPIRED,CUSTOMER_PROMPT,MEDIUM,FAILED,0.0
TXN10115,1765.18,NETWORK_ERROR,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10116,1062.61,INSUFFICIENT_FUNDS,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10117,4836.62,INSUFFICIENT_FUNDS,PAYMENT_LINK,MEDIUM,FAILED,0.0
TXN10118,8383.12,AUTHENTICATION_FAILURE,CUSTOMER_PROMPT,MEDIUM,FAILED,0.0
TXN10119,47709.27,AUTHENTICATION_FAILURE,CUSTOMER_PROMPT,MEDIUM,FAILED,0.0
TXN10120,265.12,TEMPORARY_BANK_ERROR,RETRY,MEDIUM,FAILED,0.0
TXN10121,5169.54,CARD_EXPIRED,CUSTOMER_PROMPT,MEDIUM,RECOVERED,5169.54
TXN10122,1266.29,TEMPORARY_BANK_ERROR,RETRY,MEDIUM,RECOVERED,1266.29
TXN10123,32034.29,INSUFFICIENT_FUNDS,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10124,1157.68,AUTHENTICATION_FAILURE,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10125,1227.37,AUTHENTICATION_FAILURE,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10126,1760.13,AUTHENTICATION_FAILURE,CUSTOMER_PROMPT,MEDIUM,RECOVERED,1760.13
TXN10127,5723.29,TEMPORARY_BANK_ERROR,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10128,1696.84,AUTHENTICATION_FAILURE,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10129,430.21,UNKNOWN,REMINDER,LOW,RECOVERED,430.21
TXN10130,1904.14,TEMPORARY_BANK_ERROR,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10131,39986.07,TEMPORARY_BANK_ERROR,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10132,4019.82,UNKNOWN,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10133,7548.76,NETWORK_ERROR,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10134,255.34,NETWORK_ERROR,RETRY,MEDIUM,RECOVERED,255.34
TXN10135,1808.38,AUTHENTICATION_FAILURE,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10136,3229.11,NETWORK_ERROR,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10137,2009.85,AUTHENTICATION_FAILURE,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10138,41902.36,TEMPORARY_BANK_ERROR,RETRY,HIGH,FAILED,0.0
TXN10139,7255.21,AUTHENTICATION_FAILURE,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10140,455.49,UNKNOWN,REMINDER,LOW,FAILED,0.0
TXN10141,2265.59,AUTHENTICATION_FAILURE,CUSTOMER_PROMPT,MEDIUM,RECOVERED,2265.59
TXN10142,35457.21,UNKNOWN,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10143,7711.98,TEMPORARY_BANK_ERROR,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10144,7147.98,TEMPORARY_BANK_ERROR,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10145,593.59,TEMPORARY_BANK_ERROR,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10146,48991.73,NETWORK_ERROR,RETRY,HIGH,FAILED,0.0
TXN10147,7940.91,CARD_EXPIRED,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10148,6848.9,AUTHENTICATION_FAILURE,CUSTOMER_PROMPT,MEDIUM,RECOVERED,6848.9
TXN10149,8687.15,AUTHENTICATION_FAILURE,CUSTOMER_PROMPT,MEDIUM,FAILED,0.0
TXN10150,8834.23,INSUFFICIENT_FUNDS,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10151,7216.33,INSUFFICIENT_FUNDS,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10152,2587.9,CARD_EXPIRED,CUSTOMER_PROMPT,MEDIUM,FAILED,0.0
TXN10153,1906.45,NETWORK_ERROR,RETRY,MEDIUM,RECOVERED,1906.45
TXN10154,32325.61,UNKNOWN,REMINDER,LOW,RECOVERED,32325.61
TXN10155,269.82,AUTHENTICATION_FAILURE,CUSTOMER_PROMPT,MEDIUM,FAILED,0.0
TXN10156,1062.81,AUTHENTICATION_FAILURE,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10157,2239.76,TEMPORARY_BANK_ERROR,RETRY,MEDIUM,RECOVERED,2239.76
TXN10158,8944.27,UNKNOWN,REMINDER,LOW,FAILED,0.0
TXN10159,40740.77,UNKNOWN,REMINDER,LOW,FAILED,0.0
TXN10160,7209.21,INSUFFICIENT_FUNDS,PAYMENT_LINK,MEDIUM,RECOVERED,7209.21
TXN10161,6535.56,UNKNOWN,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10162,8541.86,INSUFFICIENT_FUNDS,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10163,3900.12,TEMPORARY_BANK_ERROR,RETRY,MEDIUM,RECOVERED,3900.12
TXN10164,8905.81,TEMPORARY_BANK_ERROR,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10165,8118.3,TEMPORARY_BANK_ERROR,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10166,47081.38,INSUFFICIENT_FUNDS,PAYMENT_LINK,MEDIUM,FAILED,0.0
TXN10167,9435.92,INSUFFICIENT_FUNDS,PAYMENT_LINK,MEDIUM,FAILED,0.0
TXN10168,31006.54,AUTHENTICATION_FAILURE,CUSTOMER_PROMPT,MEDIUM,RECOVERED,31006.54
TXN10169,31059.97,CARD_EXPIRED,CUSTOMER_PROMPT,MEDIUM,RECOVERED,31059.97
TXN10170,3398.01,AUTHENTICATION_FAILURE,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10171,5389.48,INSUFFICIENT_FUNDS,PAYMENT_LINK,MEDIUM,RECOVERED,5389.48
TXN10172,1752.03,TEMPORARY_BANK_ERROR,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10173,49511.42,INSUFFICIENT_FUNDS,PAYMENT_LINK,MEDIUM,FAILED,0.0
TXN10174,4728.38,INSUFFICIENT_FUNDS,PAYMENT_LINK,MEDIUM,FAILED,0.0
TXN10175,544.36,AUTHENTICATION_FAILURE,CUSTOMER_PROMPT,MEDIUM,RECOVERED,544.36
TXN10176,33712.48,INSUFFICIENT_FUNDS,PAYMENT_LINK,MEDIUM,RECOVERED,33712.48
TXN10177,6461.71,AUTHENTICATION_FAILURE,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10178,3363.65,TEMPORARY_BANK_ERROR,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10179,3876.9,NETWORK_ERROR,RETRY,MEDIUM,RECOVERED,3876.9
TXN10180,1321.45,NETWORK_ERROR,RETRY,MEDIUM,FAILED,0.0
TXN10181,13505.71,INSUFFICIENT_FUNDS,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10182,41451.04,INSUFFICIENT_FUNDS,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10183,5044.61,NETWORK_ERROR,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10184,7558.91,AUTHENTICATION_FAILURE,CUSTOMER_PROMPT,MEDIUM,FAILED,0.0
TXN10185,1075.71,INSUFFICIENT_FUNDS,PAYMENT_LINK,MEDIUM,FAILED,0.0
TXN10186,617.59,INSUFFICIENT_FUNDS,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10187,16080.99,INSUFFICIENT_FUNDS,PAYMENT_LINK,MEDIUM,FAILED,0.0
TXN10188,1314.1,NETWORK_ERROR,RETRY,MEDIUM,RECOVERED,1314.1
TXN10189,1311.49,TEMPORARY_BANK_ERROR,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10190,434.28,INSUFFICIENT_FUNDS,PAYMENT_LINK,MEDIUM,FAILED,0.0
TXN10191,1933.88,AUTHENTICATION_FAILURE,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10192,781.3,TEMPORARY_BANK_ERROR,RETRY,MEDIUM,FAILED,0.0
TXN10193,4127.89,AUTHENTICATION_FAILURE,CUSTOMER_PROMPT,MEDIUM,FAILED,0.0
TXN10194,1612.03,NETWORK_ERROR,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10195,28459.1,CARD_EXPIRED,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10196,469.3,NETWORK_ERROR,RETRY,MEDIUM,RECOVERED,469.3
TXN10197,25503.81,UNKNOWN,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10198,2787.07,INSUFFICIENT_FUNDS,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10199,658.74,CARD_EXPIRED,CUSTOMER_PROMPT,MEDIUM,FAILED,0.0
TXN10200,6658.8,TEMPORARY_BANK_ERROR,RETRY,HIGH,RECOVERED,6658.8
TXN10201,898.58,CARD_EXPIRED,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10202,20337.26,TEMPORARY_BANK_ERROR,RETRY,HIGH,RECOVERED,20337.26
TXN10203,7248.64,UNKNOWN,REMINDER,LOW,FAILED,0.0
TXN10204,48605.19,INSUFFICIENT_FUNDS,PAYMENT_LINK,MEDIUM,FAILED,0.0
TXN10205,2847.34,CARD_EXPIRED,CUSTOMER_PROMPT,MEDIUM,FAILED,0.0
TXN10206,215.8,INSUFFICIENT_FUNDS,PAYMENT_LINK,MEDIUM,RECOVERED,215.8
TXN10207,8520.13,AUTHENTICATION_FAILURE,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10208,1697.82,NETWORK_ERROR,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10209,4946.11,TEMPORARY_BANK_ERROR,RETRY,MEDIUM,RECOVERED,4946.11
TXN10210,1314.26,AUTHENTICATION_FAILURE,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10211,6484.72,INSUFFICIENT_FUNDS,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10212,4673.57,INSUFFICIENT_FUNDS,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10213,12501.69,UNKNOWN,REMINDER,LOW,RECOVERED,12501.69
TXN10214,37436.45,NETWORK_ERROR,RETRY,HIGH,FAILED,0.0
TXN10215,3322.19,NETWORK_ERROR,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10216,972.38,INSUFFICIENT_FUNDS,PAYMENT_LINK,MEDIUM,FAILED,0.0
TXN10217,288.72,TEMPORARY_BANK_ERROR,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10218,5776.01,INSUFFICIENT_FUNDS,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10219,971.0,TEMPORARY_BANK_ERROR,RETRY,MEDIUM,RECOVERED,971.0
TXN10220,23893.73,UNKNOWN,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10221,4081.0,NETWORK_ERROR,RETRY,MEDIUM,FAILED,0.0
TXN10222,20038.67,AUTHENTICATION_FAILURE,CUSTOMER_PROMPT,MEDIUM,FAILED,0.0
TXN10223,7661.97,AUTHENTICATION_FAILURE,CUSTOMER_PROMPT,MEDIUM,RECOVERED,7661.97
TXN10224,44479.48,INSUFFICIENT_FUNDS,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10225,41451.13,NETWORK_ERROR,RETRY,HIGH,FAILED,0.0
TXN10226,1386.33,NETWORK_ERROR,RETRY,MEDIUM,RECOVERED,1386.33
TXN10227,31548.07,CARD_EXPIRED,CUSTOMER_PROMPT,MEDIUM,FAILED,0.0
TXN10228,565.78,INSUFFICIENT_FUNDS,PAYMENT_LINK,MEDIUM,FAILED,0.0
TXN10229,3263.48,INSUFFICIENT_FUNDS,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10230,45759.59,AUTHENTICATION_FAILURE,CUSTOMER_PROMPT,MEDIUM,RECOVERED,45759.59
TXN10231,1530.51,NETWORK_ERROR,RETRY,MEDIUM,RECOVERED,1530.51
TXN10232,37474.44,CARD_EXPIRED,CUSTOMER_PROMPT,MEDIUM,RECOVERED,37474.44
TXN10233,8864.56,AUTHENTICATION_FAILURE,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10234,8553.22,TEMPORARY_BANK_ERROR,RETRY,HIGH,FAILED,0.0
TXN10235,4783.18,AUTHENTICATION_FAILURE,CUSTOMER_PROMPT,MEDIUM,FAILED,0.0
TXN10236,1717.73,INSUFFICIENT_FUNDS,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10237,12906.83,AUTHENTICATION_FAILURE,CUSTOMER_PROMPT,MEDIUM,FAILED,0.0
TXN10238,1572.68,TEMPORARY_BANK_ERROR,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10239,6482.96,INSUFFICIENT_FUNDS,PAYMENT_LINK,MEDIUM,RECOVERED,6482.96
TXN10240,5371.13,NETWORK_ERROR,RETRY,HIGH,RECOVERED,5371.13
TXN10241,48512.41,CARD_EXPIRED,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10242,6325.05,INSUFFICIENT_FUNDS,PAYMENT_LINK,MEDIUM,FAILED,0.0
TXN10243,33952.33,CARD_EXPIRED,CUSTOMER_PROMPT,MEDIUM,FAILED,0.0
TXN10244,532.59,AUTHENTICATION_FAILURE,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10245,1384.89,UNKNOWN,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10246,2201.11,TEMPORARY_BANK_ERROR,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10247,41552.09,TEMPORARY_BANK_ERROR,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10248,34026.04,NETWORK_ERROR,RETRY,HIGH,RECOVERED,34026.04
TXN10249,2365.14,AUTHENTICATION_FAILURE,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10250,1052.72,CARD_EXPIRED,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10251,30506.71,INSUFFICIENT_FUNDS,PAYMENT_LINK,MEDIUM,RECOVERED,30506.71
TXN10252,820.4,UNKNOWN,REMINDER,LOW,RECOVERED,820.4
TXN10253,900.77,NETWORK_ERROR,RETRY,MEDIUM,FAILED,0.0
TXN10254,8902.18,TEMPORARY_BANK_ERROR,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10255,1020.23,INSUFFICIENT_FUNDS,PAYMENT_LINK,MEDIUM,FAILED,0.0
TXN10256,4895.0,UNKNOWN,REMINDER,LOW,RECOVERED,4895.0
TXN10257,31199.66,CARD_EXPIRED,CUSTOMER_PROMPT,MEDIUM,FAILED,0.0
TXN10258,1073.8,CARD_EXPIRED,CUSTOMER_PROMPT,MEDIUM,FAILED,0.0
TXN10259,6339.73,INSUFFICIENT_FUNDS,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10260,4550.62,NETWORK_ERROR,RETRY,MEDIUM,RECOVERED,4550.62
TXN10261,973.95,TEMPORARY_BANK_ERROR,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10262,2809.98,AUTHENTICATION_FAILURE,STOP_AND_ESCALATE,HIGH,ESCALATED,0.0
TXN10263,5073.27,INSUFFICIENT_FUNDS,PAYMENT_LINK,MEDIUM,FAILED,0.0
