transaction_id,customer_id,amount,failure_reason,attempts,customer_type,recovery_score,recovery_risk,priority_score,priority,recommended_action
TXN10090,CUST1016,34148.86,CARD_EXPIRED,2,RETURNING,60,MEDIUM,85,HIGH,CUSTOMER_PROMPT
TXN10091,CUST1284,2262.74,TEMPORARY_BANK_ERROR,1,NEW,70,HIGH,40,MEDIUM,RETRY
TXN10092,CUST1062,1244.06,UNKNOWN,1,RETURNING,65,MEDIUM,45,MEDIUM,REMINDER
TXN10093,CUST1284,1993.37,TEMPORARY_BANK_ERROR,3,RETURNING,35,LOW,35,LOW,STOP_AND_ESCALATE
TXN10094,CUST1112,43462.59,NETWORK_ERROR,2,NEW,75,HIGH,80,HIGH,RETRY
TXN10095,CUST1161,920.37,UNKNOWN,4,RETURNING,25,LOW,30,LOW,STOP_AND_ESCALATE
TXN10096,CUST1254,2203.07,TEMPORARY_BANK_ERROR,3,LOYAL,75,HIGH,70,HIGH,STOP_AND_ESCALATE
TXN10097,CUST1119,41996.64,NETWORK_ERROR,3,LOYAL,75,HIGH,90,HIGH,STOP_AND_ESCALATE
TXN10098,CUST1160,9700.23,INSUFFICIENT_FUNDS,2,NEW,45,MEDIUM,45,MEDIUM,PAYMENT_LINK
TXN10099,CUST1194,573.2,UNKNOWN,1,RETURNING,65,MEDIUM,40,MEDIUM,REMINDER
TXN10100,CUST1279,4144.24,INSUFFICIENT_FUNDS,4,RETURNING,35,LOW,50,MEDIUM,STOP_AND_ESCALATE
TXN10101,CUST1236,49414.69,AUTHENTICATION_FAILURE,1,RETURNING,45,MEDIUM,70,HIGH,CUSTOMER_PROMPT
TXN10102,CUST1127,3743.97,NETWORK_ERROR,1,LOYAL,85,HIGH,55,MEDIUM,RETRY
TXN10103,CUST1026,410.95,CARD_EXPIRED,3,RETURNING,30,LOW,35,LOW,STOP_AND_ESCALATE
TXN10104,CUST1189,1819.03,AUTHENTICATION_FAILURE,1,RETURNING,45,MEDIUM,40,MEDIUM,CUSTOMER_PROMPT
TXN10105,CUST1295,16651.33,AUTHENTICATION_FAILURE,2,NEW,30,LOW,45,MEDIUM,CUSTOMER_PROMPT
TXN10106,CUST1249,38861.31,UNKNOWN,2,LOYAL,85,HIGH,90,HIGH,REMINDER
TXN10107,CUST1072,33803.12,TEMPORARY_BANK_ERROR,1,LOYAL,90,HIGH,85,HIGH,RETRY
TXN10108,CUST1171,29819.65,TEMPORARY_BANK_ERROR,3,RETURNING,60,MEDIUM,85,HIGH,STOP_AND_ESCALATE
TXN10109,CUST1011,1940.86,UNKNOWN,1,NEW,40,MEDIUM,30,LOW,REMINDER
TXN10110,CUST1088,1174.42,NETWORK_ERROR,2,RETURNING,80,HIGH,50,MEDIUM,RETRY
TXN10111,CUST1085,7544.71,AUTHENTICATION_FAILURE,1,NEW,45,MEDIUM,45,MEDIUM,CUSTOMER_PROMPT
TXN10112,CUST1102,1846.88,INSUFFICIENT_FUNDS,1,NEW,55,MEDIUM,45,MEDIUM,PAYMENT_LINK
TXN10113,CUST1038,265.61,AUTHENTICATION_FAILURE,2,NEW,40,MEDIUM,30,LOW,CUSTOMER_PROMPT
TXN10114,CUST1226,766.52,CARD_EXPIRED,2,RETURNING,35,LOW,30,LOW,CUSTOMER_PROMPT
TXN10115,CUST1244,1765.18,NETWORK_ERROR,3,RETURNING,40,MEDIUM,40,MEDIUM,STOP_AND_ESCALATE
TXN10116,CUST1176,1062.61,INSUFFICIENT_FUNDS,4,RETURNING,30,LOW,40,MEDIUM,STOP_AND_ESCALATE
TXN10117,CUST1139,4836.62,INSUFFICIENT_FUNDS,1,NEW,35,LOW,25,LOW,PAYMENT_LINK
TXN10118,CUST1198,8383.12,AUTHENTICATION_FAILURE,2,LOYAL,55,MEDIUM,60,MEDIUM,CUSTOMER_PROMPT
TXN10119,CUST1217,47709.27,AUTHENTICATION_FAILURE,2,NEW,30,LOW,55,MEDIUM,CUSTOMER_PROMPT
TXN10120,CUST1240,265.12,TEMPORARY_BANK_ERROR,1,NEW,75,HIGH,45,MEDIUM,RETRY
TXN10121,CUST1088,5169.54,CARD_EXPIRED,2,LOYAL,55,MEDIUM,60,MEDIUM,CUSTOMER_PROMPT
TXN10122,CUST1169,1266.29,TEMPORARY_BANK_ERROR,1,RETURNING,85,HIGH,60,MEDIUM,RETRY
TXN10123,CUST1089,32034.29,INSUFFICIENT_FUNDS,4,RETURNING,25,LOW,65,MEDIUM,STOP_AND_ESCALATE
TXN10124,CUST1185,1157.68,AUTHENTICATION_FAILURE,4,LOYAL,30,LOW,45,MEDIUM,STOP_AND_ESCALATE
TXN10125,CUST1058,1227.37,AUTHENTICATION_FAILURE,4,RETURNING,30,LOW,40,MEDIUM,STOP_AND_ESCALATE
TXN10126,CUST1234,1760.13,AUTHENTICATION_FAILURE,2,LOYAL,55,MEDIUM,50,MEDIUM,CUSTOMER_PROMPT
TXN10127,CUST1257,5723.29,TEMPORARY_BANK_ERROR,3,NEW,25,LOW,35,LOW,STOP_AND_ESCALATE
TXN10128,CUST1162,1696.84,AUTHENTICATION_FAILURE,4,RETURNING,10,LOW,30,LOW,STOP_AND_ESCALATE
TXN10129,CUST1241,430.21,UNKNOWN,1,LOYAL,85,HIGH,55,MEDIUM,REMINDER
TXN10130,CUST1269,1904.14,TEMPORARY_BANK_ERROR,4,RETURNING,35,LOW,35,LOW,STOP_AND_ESCALATE
TXN10131,CUST1078,39986.07,TEMPORARY_BANK_ERROR,3,RETURNING,65,MEDIUM,85,HIGH,STOP_AND_ESCALATE
TXN10132,CUST1270,4019.82,UNKNOWN,3,RETURNING,25,LOW,35,LOW,STOP_AND_ESCALATE
TXN10133,CUST1235,7548.76,NETWORK_ERROR,3,RETURNING,60,MEDIUM,65,MEDIUM,STOP_AND_ESCALATE
TXN10134,CUST1057,255.34,NETWORK_ERROR,1,RETURNING,90,HIGH,55,MEDIUM,RETRY
TXN10135,CUST1144,1808.38,AUTHENTICATION_FAILURE,4,RETURNING,15,LOW,30,LOW,STOP_AND_ESCALATE
TXN10136,CUST1045,3229.11,NETWORK_ERROR,4,RETURNING,50,MEDIUM,45,MEDIUM,STOP_AND_ESCALATE
TXN10137,CUST1213,2009.85,AUTHENTICATION_FAILURE,4,RETURNING,15,LOW,30,LOW,STOP_AND_ESCALATE
TXN10138,CUST1094,41902.36,TEMPORARY_BANK_ERROR,2,LOYAL,85,HIGH,85,HIGH,RETRY
TXN10139,CUST1045,7255.21,AUTHENTICATION_FAILURE,4,LOYAL,30,LOW,55,MEDIUM,STOP_AND_ESCALATE
TXN10140,CUST1232,455.49,UNKNOWN,1,RETURNING,75,HIGH,55,MEDIUM,REMINDER
TXN10141,CUST1105,2265.59,AUTHENTICATION_FAILURE,2,RETURNING,40,MEDIUM,40,MEDIUM,CUSTOMER_PROMPT
TXN10142,CUST1203,35457.21,UNKNOWN,3,LOYAL,45,MEDIUM,80,HIGH,STOP_AND_ESCALATE
TXN10143,CUST1021,7711.98,TEMPORARY_BANK_ERROR,4,RETURNING,55,MEDIUM,55,MEDIUM,STOP_AND_ESCALATE
TXN10144,CUST1242,7147.98,TEMPORARY_BANK_ERROR,3,RETURNING,35,LOW,45,MEDIUM,STOP_AND_ESCALATE
TXN10145,CUST1210,593.59,TEMPORARY_BANK_ERROR,4,RETURNING,60,MEDIUM,50,MEDIUM,STOP_AND_ESCALATE
TXN10146,CUST1212,48991.73,NETWORK_ERROR,1,NEW,75,HIGH,70,HIGH,RETRY
TXN10147,CUST1116,7940.91,CARD_EXPIRED,4,LOYAL,30,LOW,55,MEDIUM,STOP_AND_ESCALATE
TXN10148,CUST1236,6848.9,AUTHENTICATION_FAILURE,2,RETURNING,35,LOW,45,MEDIUM,CUSTOMER_PROMPT
TXN10149,CUST1001,8687.15,AUTHENTICATION_FAILURE,2,RETURNING,40,MEDIUM,50,MEDIUM,CUSTOMER_PROMPT
TXN10150,CUST1129,8834.23,INSUFFICIENT_FUNDS,4,NEW,20,LOW,40,MEDIUM,STOP_AND_ESCALATE
TXN10151,CUST1286,7216.33,INSUFFICIENT_FUNDS,4,LOYAL,35,LOW,55,MEDIUM,STOP_AND_ESCALATE
TXN10152,CUST1170,2587.9,CARD_EXPIRED,1,RETURNING,60,MEDIUM,45,MEDIUM,CUSTOMER_PROMPT
TXN10153,CUST1043,1906.45,NETWORK_ERROR,1,RETURNING,90,HIGH,60,MEDIUM,RETRY
TXN10154,CUST1281,32325.61,UNKNOWN,1,NEW,45,MEDIUM,60,MEDIUM,REMINDER
TXN10155,CUST1180,269.82,AUTHENTICATION_FAILURE,2,NEW,25,LOW,20,LOW,MANUAL_REVIEW
TXN10156,CUST1293,1062.81,AUTHENTICATION_FAILURE,4,RETURNING,10,LOW,30,LOW,STOP_AND_ESCALATE
TXN10157,CUST1156,2239.76,TEMPORARY_BANK_ERROR,1,NEW,75,HIGH,50,MEDIUM,RETRY
TXN10158,CUST1144,8944.27,UNKNOWN,2,RETURNING,50,MEDIUM,50,MEDIUM,REMINDER
TXN10159,CUST1141,40740.77,UNKNOWN,1,LOYAL,95,HIGH,100,HIGH,REMINDER
TXN10160,CUST1268,7209.21,INSUFFICIENT_FUNDS,1,LOYAL,65,MEDIUM,60,MEDIUM,PAYMENT_LINK
TXN10161,CUST1278,6535.56,UNKNOWN,3,RETURNING,40,MEDIUM,55,MEDIUM,STOP_AND_ESCALATE
TXN10162,CUST1092,8541.86,INSUFFICIENT_FUNDS,4,RETURNING,20,LOW,45,MEDIUM,STOP_AND_ESCALATE
TXN10163,CUST1264,3900.12,TEMPORARY_BANK_ERROR,2,NEW,50,MEDIUM,30,LOW,RETRY
TXN10164,CUST1227,8905.81,TEMPORARY_BANK_ERROR,4,LOYAL,70,HIGH,70,HIGH,STOP_AND_ESCALATE
TXN10165,CUST1116,8118.3,TEMPORARY_BANK_ERROR,3,RETURNING,35,LOW,45,MEDIUM,STOP_AND_ESCALATE
TXN10166,CUST1051,47081.38,INSUFFICIENT_FUNDS,2,NEW,35,LOW,55,MEDIUM,PAYMENT_LINK
TXN10167,CUST1262,9435.92,INSUFFICIENT_FUNDS,1,RETURNING,60,MEDIUM,55,MEDIUM,PAYMENT_LINK
TXN10168,CUST1262,31006.54,AUTHENTICATION_FAILURE,2,RETURNING,55,MEDIUM,75,HIGH,CUSTOMER_PROMPT
TXN10169,CUST1008,31059.97,CARD_EXPIRED,2,LOYAL,60,MEDIUM,80,HIGH,CUSTOMER_PROMPT
TXN10170,CUST1151,3398.01,AUTHENTICATION_FAILURE,3,LOYAL,45,MEDIUM,55,MEDIUM,STOP_AND_ESCALATE
TXN10171,CUST1107,5389.48,INSUFFICIENT_FUNDS,2,RETURNING,55,MEDIUM,55,MEDIUM,PAYMENT_LINK
TXN10172,CUST1076,1752.03,TEMPORARY_BANK_ERROR,3,RETURNING,40,MEDIUM,40,MEDIUM,STOP_AND_ESCALATE
TXN10173,CUST1240,49511.42,INSUFFICIENT_FUNDS,2,RETURNING,45,MEDIUM,70,HIGH,PAYMENT_LINK
TXN10174,CUST1163,4728.38,INSUFFICIENT_FUNDS,2,RETURNING,60,MEDIUM,45,MEDIUM,PAYMENT_LINK
TXN10175,CUST1026,544.36,AUTHENTICATION_FAILURE,2,RETURNING,40,MEDIUM,35,LOW,CUSTOMER_PROMPT
TXN10176,CUST1171,33712.48,INSUFFICIENT_FUNDS,2,RETURNING,65,MEDIUM,75,HIGH,PAYMENT_LINK
TXN10177,CUST1286,6461.71,AUTHENTICATION_FAILURE,4,RETURNING,30,LOW,50,MEDIUM,STOP_AND_ESCALATE
TXN10178,CUST1002,3363.65,TEMPORARY_BANK_ERROR,4,RETURNING,40,MEDIUM,40,MEDIUM,STOP_AND_ESCALATE
TXN10179,CUST1083,3876.9,NETWORK_ERROR,1,LOYAL,85,HIGH,55,MEDIUM,RETRY
TXN10180,CUST1150,1321.45,NETWORK_ERROR,2,RETURNING,65,MEDIUM,40,MEDIUM,RETRY
TXN10181,CUST1195,13505.71,INSUFFICIENT_FUNDS,4,NEW,10,LOW,40,MEDIUM,STOP_AND_ESCALATE
TXN10182,CUST1165,41451.04,INSUFFICIENT_FUNDS,4,LOYAL,40,MEDIUM,80,HIGH,STOP_AND_ESCALATE
TXN10183,CUST1162,5044.61,NETWORK_ERROR,4,RETURNING,35,LOW,45,MEDIUM,STOP_AND_ESCALATE
TXN10184,CUST1094,7558.91,AUTHENTICATION_FAILURE,1,RETURNING,55,MEDIUM,55,MEDIUM,CUSTOMER_PROMPT
TXN10185,CUST1024,1075.71,INSUFFICIENT_FUNDS,1,RETURNING,45,MEDIUM,40,MEDIUM,PAYMENT_LINK
TXN10186,CUST1042,617.59,INSUFFICIENT_FUNDS,4,LOYAL,35,LOW,40,MEDIUM,STOP_AND_ESCALATE
TXN10187,CUST1252,16080.99,INSUFFICIENT_FUNDS,2,RETURNING,45,MEDIUM,60,MEDIUM,PAYMENT_LINK
TXN10188,CUST1251,1314.1,NETWORK_ERROR,2,NEW,70,HIGH,50,MEDIUM,RETRY
TXN10189,CUST1177,1311.49,TEMPORARY_BANK_ERROR,4,RETURNING,40,MEDIUM,40,MEDIUM,STOP_AND_ESCALATE
TXN10190,CUST1085,434.28,INSUFFICIENT_FUNDS,2,RETURNING,55,MEDIUM,40,MEDIUM,PAYMENT_LINK
TXN10191,CUST1064,1933.88,AUTHENTICATION_FAILURE,3,NEW,0,LOW,20,LOW,STOP_AND_ESCALATE
TXN10192,CUST1190,781.3,TEMPORARY_BANK_ERROR,1,LOYAL,100,HIGH,65,MEDIUM,RETRY
TXN10193,CUST1041,4127.89,AUTHENTICATION_FAILURE,1,NEW,30,LOW,25,LOW,CUSTOMER_PROMPT
TXN10194,CUST1241,1612.03,NETWORK_ERROR,4,RETURNING,35,LOW,35,LOW,STOP_AND_ESCALATE
TXN10195,CUST1172,28459.1,CARD_EXPIRED,4,RETURNING,40,MEDIUM,85,HIGH,STOP_AND_ESCALATE
TXN10196,CUST1151,469.3,NETWORK_ERROR,1,NEW,55,MEDIUM,25,LOW,RETRY
TXN10197,CUST1050,25503.81,UNKNOWN,3,RETURNING,40,MEDIUM,75,HIGH,STOP_AND_ESCALATE
TXN10198,CUST1048,2787.07,INSUFFICIENT_FUNDS,4,NEW,20,LOW,30,LOW,STOP_AND_ESCALATE
TXN10199,CUST1257,658.74,CARD_EXPIRED,2,RETURNING,55,MEDIUM,40,MEDIUM,CUSTOMER_PROMPT
TXN10200,CUST1123,6658.8,TEMPORARY_BANK_ERROR,2,NEW,65,MEDIUM,45,MEDIUM,RETRY
TXN10201,CUST1031,898.58,CARD_EXPIRED,4,RETURNING,25,LOW,35,LOW,STOP_AND_ESCALATE
TXN10202,CUST1237,20337.26,TEMPORARY_BANK_ERROR,2,RETURNING,85,HIGH,70,HIGH,RETRY
TXN10203,CUST1028,7248.64,UNKNOWN,1,RETURNING,50,MEDIUM,50,MEDIUM,REMINDER
TXN10204,CUST1183,48605.19,INSUFFICIENT_FUNDS,2,RETURNING,50,MEDIUM,70,HIGH,PAYMENT_LINK
TXN10205,CUST1185,2847.34,CARD_EXPIRED,1,LOYAL,60,MEDIUM,50,MEDIUM,CUSTOMER_PROMPT
TXN10206,CUST1009,215.8,INSUFFICIENT_FUNDS,2,RETURNING,60,MEDIUM,50,MEDIUM,PAYMENT_LINK
TXN10207,CUST1053,8520.13,AUTHENTICATION_FAILURE,4,RETURNING,30,LOW,50,MEDIUM,STOP_AND_ESCALATE
TXN10208,CUST1210,1697.82,NETWORK_ERROR,3,RETURNING,50,MEDIUM,45,MEDIUM,STOP_AND_ESCALATE
TXN10209,CUST1201,4946.11,TEMPORARY_BANK_ERROR,2,LOYAL,95,HIGH,60,MEDIUM,RETRY
TXN10210,CUST1185,1314.26,AUTHENTICATION_FAILURE,3,RETURNING,30,LOW,40,MEDIUM,STOP_AND_ESCALATE
TXN10211,CUST1210,6484.72,INSUFFICIENT_FUNDS,4,RETURNING,35,LOW,60,MEDIUM,STOP_AND_ESCALATE
